cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles
65536,8,2,0,0,1,43704
65536,8,4,1,1,1,61672
65536,8,4,1,0,1,43704
65536,8,4,0,1,1,43704
65536,8,4,0,0,1,43704
65536,8,8,1,1,1,61488
65536,8,8,1,0,1,43704
65536,8,8,0,1,1,43704
65536,8,8,0,0,1,43704
65536,8,16,1,1,0.999817,57441
65536,8,16,1,0,1,43704
65536,8,16,0,1,0.999817,43697
65536,8,16,0,0,1,43704
65536,8,32,1,1,0.999817,52625
65536,8,32,1,0,1,43704
65536,8,32,0,1,0.999817,43697
65536,8,32,0,0,1,43704
65536,16,1,1,1,1,63184
65536,16,1,1,0,1,43704
65536,16,1,0,1,1,43704
65536,16,1,0,0,1,43704
65536,16,2,1,1,1,61648
65536,16,2,1,0,1,43704
65536,16,2,0,1,1,43704
65536,16,2,0,0,1,43704
65536,16,4,1,1,1,61672
65536,16,4,1,0,1,43704
65536,16,4,0,1,1,43704
65536,16,4,0,0,1,43704
65536,16,8,1,1,1,61488
65536,16,8,1,0,1,43704
65536,16,8,0,1,1,43704
65536,16,8,0,0,1,43704
65536,16,16,1,1,0.999817,59009
65536,16,16,1,0,1,43704
65536,16,16,0,1,0.999817,43697
65536,16,16,0,0,1,43704
65536,16,32,1,1,0.999817,55201
65536,16,32,1,0,1,43704
65536,16,32,0,1,0.999817,43697
65536,16,32,0,0,1,43704
65536,32,1,1,1,1,63600
65536,32,1,1,0,1,43704
65536,32,1,0,1,1,43704
65536,32,1,0,0,1,43704
65536,32,2,1,1,1,62280
65536,32,2,1,0,1,43704
65536,32,2,0,1,1,43704
65536,32,2,0,0,1,43704
65536,32,4,1,1,1,62416
65536,32,4,1,0,1,43704
65536,32,4,0,1,1,43704
65536,32,4,0,0,1,43704
65536,32,8,1,1,1,62248
65536,32,8,1,0,1,43704
65536,32,8,0,1,1,43704
65536,32,8,0,0,1,43704
65536,32,16,1,1,1,62376
65536,32,16,1,0,1,43704
65536,32,16,0,1,1,43704
65536,32,16,0,0,1,43704
65536,32,32,1,1,0.999817,60401
65536,32,32,1,0,1,43704
65536,32,32,0,1,0.999817,43697
65536,32,32,0,0,1,43704
65536,64,1,1,1,1,64344
65536,64,1,1,0,1,43704
65536,64,1,0,1,1,43704
65536,64,1,0,0,1,43704
65536,64,2,1,1,1,63456
65536,64,2,1,0,1,43704
65536,64,2,0,1,1,43704
65536,64,2,0,0,1,43704
65536,64,4,1,1,1,63624
65536,64,4,1,0,1,43704
65536,64,4,0,1,1,43704
65536,64,4,0,0,1,43704
65536,64,8,1,1,1,63544
65536,64,8,1,0,1,43704
65536,64,8,0,1,1,43704
65536,64,8,0,0,1,43704
65536,64,16,1,1,1,63600
65536,64,16,1,0,1,43704
65536,64,16,0,1,1,43704
65536,64,16,0,0,1,43704
65536,64,32,1,1,0.999817,62465
65536,64,32,1,0,1,43704
65536,64,32,0,1,0.999817,43697
65536,64,32,0,0,1,43704
65536,128,1,1,1,0.863262,56643
65536,128,1,1,0,0.927512,40932
65536,128,1,0,1,0.863262,41323
65536,128,1,0,0,0.927512,40932
65536,128,2,1,1,0.861248,55910
65536,128,2,1,0,0.927512,40932
65536,128,2,0,1,0.861248,41302
65536,128,2,0,0,0.927512,40932
65536,128,4,1,1,0.861065,55959
65536,128,4,1,0,0.927329,40925
65536,128,4,0,1,0.861065,41287
65536,128,4,0,0,0.927329,40925
65536,128,8,1,1,0.860882,55960
65536,128,8,1,0,0.927146,40918
65536,128,8,0,1,0.860882,41296
65536,128,8,0,0,0.927146,40918
65536,128,16,1,1,0.861065,56015
65536,128,16,1,0,0.927146,40918
65536,128,16,0,1,0.861065,41295
65536,128,16,0,0,0.927146,40918
65536,128,32,1,1,0.859601,55103
65536,128,32,1,0,0.926963,40911
65536,128,32,0,1,0.859601,41287
65536,128,32,0,0,0.926963,40911
65536,256,1,1,1,0.693392,46947
65536,256,1,1,0,0.838916,37544
